"165",14,26,138,38,727,87,1012
"166",21,24,127,41,751,88,1025
"167",28,23,109,40,769,89,1036
"168",27,22,100,41,780,93,1046
"169",27,19,95,38,803,93,1053
"170",27,14,84,40,816,95,1061
"171",23,11,79,41,823,96,1065
"172",20,8,84,43,841,99,1074
"173",23,7,75,36,862,100,1082
"174",25,7,67,31,862,101,1093
"175",31,10,73,31,871,103,1110
"176",38,9,72,27,883,103,1124
"177",34,9,72,24,883,104,1127
"178",41,12,76,24,893,104,1143
"179",43,13,83,22,905,107,1159
"180",48,17,85,17,918,107,1180
"181",55,15,84,15,928,108,1194
"182",58,15,89,14,937,109,1213
"183",46,11,104,17,944,109,1226
